current_line,next_line,occurrence_ct
from math import sqrt,from maths.greatest_common_divisor import gcd_by_iterative,1
"assert isinstance(number, int) and (number >= 0), (","""'number' must been an int and positive""",1
"""'number' must been an int and positive""",),1
if number <= 1:,status = False,1
"for divisor in range(2, int(round(sqrt(number))) + 1):",if number % divisor == 0:,1
if number % divisor == 0:,status = False,1
status = False,break,1
"assert isinstance(n, int) and (n > 2), ""'N' must been an int and > 2""","begin_list = list(range(2, n + 1))",1
"begin_list = list(range(2, n + 1))",ans = [],1
for i in range(len(begin_list)):,"for j in range(i + 1, len(begin_list)):",1
"for j in range(i + 1, len(begin_list)):",if (begin_list[i] != 0) and (begin_list[j] % begin_list[i] == 0):,1
if (begin_list[i] != 0) and (begin_list[j] % begin_list[i] == 0):,begin_list[j] = 0,1
"assert isinstance(ans, list), ""'ans' must been from type list""",return ans,3
def get_prime_numbers(n):,"assert isinstance(n, int) and (n > 2), ""'N' must been an int and > 2""",1
"assert isinstance(n, int) and (n > 2), ""'N' must been an int and > 2""",ans = [],1
"for number in range(2, n + 1):",if is_prime(number):,1
if is_prime(number):,ans.append(number),1
def prime_factorization(number):,"assert isinstance(number, int) and number >= 0, ""'number' must been an int and >= 0""",1
"assert isinstance(number, int) and number >= 0, ""'number' must been an int and >= 0""",ans = [],1
factor = 2,quotient = number,1
"if number in {0, 1}:",ans.append(number),1
ans.append(number),elif not is_prime(number):,1
elif not is_prime(number):,while quotient != 1:,1
while quotient != 1:,if is_prime(factor) and (quotient % factor == 0):,1
if is_prime(factor) and (quotient % factor == 0):,ans.append(factor),1
ans.append(factor),quotient /= factor,1
quotient /= factor,else:,1
else:,factor += 1,1
factor += 1,else:,1
else:,ans.append(number),1
def greatest_prime_factor(number):,"assert isinstance(number, int) and (number >= 0), (",1
"assert isinstance(number, int) and (number >= 0), (","""'number' must been an int and >= 0""",2
"""'number' must been an int and >= 0""",),2
ans = 0,prime_factors = prime_factorization(number),2
prime_factors = prime_factorization(number),ans = max(prime_factors),1
"assert isinstance(ans, int), ""'ans' must been from type int""",return ans,2
def smallest_prime_factor(number):,"assert isinstance(number, int) and (number >= 0), (",1
prime_factors = prime_factorization(number),ans = min(prime_factors),1
def is_even(number):,"assert isinstance(number, int), ""'number' must been an int""",1
"assert isinstance(number, int), ""'number' must been an int""","assert isinstance(number % 2 == 0, bool), ""compare must been from type bool""",1
def is_odd(number):,"assert isinstance(number, int), ""'number' must been an int""",1
"assert isinstance(number, int), ""'number' must been an int""","assert isinstance(number % 2 != 0, bool), ""compare must been from type bool""",1
def goldbach(number):,"assert isinstance(number, int) and (number > 2) and is_even(number), (",1
"assert isinstance(number, int) and (number > 2) and is_even(number), (","""'number' must been an int, even and > 2""",1
"""'number' must been an int, even and > 2""",),1
ans = [],prime_numbers = get_prime_numbers(number),1
prime_numbers = get_prime_numbers(number),len_pn = len(prime_numbers),1
i = 0,j = None,1
while i < len_pn and loop:,j = i + 1,1
while j < len_pn and loop:,if prime_numbers[i] + prime_numbers[j] == number:,1
if prime_numbers[i] + prime_numbers[j] == number:,loop = False,1
loop = False,ans.append(prime_numbers[i]),1
ans.append(prime_numbers[i]),ans.append(prime_numbers[j]),1
assert (,"isinstance(ans, list)",2
"isinstance(ans, list)",and (len(ans) == 2),1
and (len(ans) == 2),and (ans[0] + ans[1] == number),1
and (ans[0] + ans[1] == number),and is_prime(ans[0]),1
and is_prime(ans[0]),and is_prime(ans[1]),1
and is_prime(ans[1]),"), ""'ans' must contains two primes. And sum of elements must been eq 'number'""",1
"def kg_v(number1, number2):",assert (,1
assert (,"isinstance(number1, int)",1
"isinstance(number1, int)","and isinstance(number2, int)",1
"and isinstance(number2, int)",and (number1 >= 1),1
and (number1 >= 1),and (number2 >= 1),1
and (number2 >= 1),"), ""'number1' and 'number2' must been positive integer.""",1
prime_fac_1 = prime_factorization(number1),prime_fac_2 = prime_factorization(number2),1
elif number1 == 1 or number2 == 1:,prime_fac_1 = [],1
prime_fac_1 = [],prime_fac_2 = [],1
prime_fac_2 = [],"ans = max(number1, number2)",1
count1 = 0,count2 = 0,1
for n in prime_fac_1:,if n not in done:,1
if n not in done:,if n in prime_fac_2:,1
if n in prime_fac_2:,count1 = prime_fac_1.count(n),1
count1 = prime_fac_1.count(n),count2 = prime_fac_2.count(n),1
count2 = prime_fac_2.count(n),"for _ in range(max(count1, count2)):",1
"for _ in range(max(count1, count2)):",ans *= n,1
ans *= n,else:,1
else:,count1 = prime_fac_1.count(n),1
count1 = prime_fac_1.count(n),for _ in range(count1):,1
for _ in range(count1):,ans *= n,1
for n in prime_fac_2:,if n not in done:,1
if n not in done:,count2 = prime_fac_2.count(n),1
count2 = prime_fac_2.count(n),for _ in range(count2):,1
for _ in range(count2):,ans *= n,1
"assert isinstance(ans, int) and (ans >= 0), (","""'ans' must been from type int and positive""",1
"""'ans' must been from type int and positive""",),1
